@relation QueryResult-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.NominalToBinary-A

@attribute 'M=01,03,12,04,11,10,05,09,06,08,07' numeric
@attribute 'M=03,12,04,11,10,05,09,06,08,07' numeric
@attribute 'M=12,04,11,10,05,09,06,08,07' numeric
@attribute 'M=04,11,10,05,09,06,08,07' numeric
@attribute 'M=11,10,05,09,06,08,07' numeric
@attribute 'M=10,05,09,06,08,07' numeric
@attribute 'M=05,09,06,08,07' numeric
@attribute 'M=09,06,08,07' numeric
@attribute 'M=06,08,07' numeric
@attribute 'M=08,07' numeric
@attribute M=07 numeric
@attribute 'D=11,12,22,10,14,23,16,13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=12,22,10,14,23,16,13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=22,10,14,23,16,13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=10,14,23,16,13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=14,23,16,13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=23,16,13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=16,13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=13,09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=09,26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=26,24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=24,04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=04,17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=17,02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=02,01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=01,08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=08,05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=05,21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=21,25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=25,03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=03,07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=07,20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=20,06,19,18,27,28,30,29,31' numeric
@attribute 'D=06,19,18,27,28,30,29,31' numeric
@attribute 'D=19,18,27,28,30,29,31' numeric
@attribute 'D=18,27,28,30,29,31' numeric
@attribute 'D=27,28,30,29,31' numeric
@attribute 'D=28,30,29,31' numeric
@attribute 'D=30,29,31' numeric
@attribute 'D=29,31' numeric
@attribute D=31 numeric
@attribute 'W=4,5,2,6,7,1' numeric
@attribute 'W=5,2,6,7,1' numeric
@attribute 'W=2,6,7,1' numeric
@attribute 'W=6,7,1' numeric
@attribute 'W=7,1' numeric
@attribute W=1 numeric
@attribute R1 numeric
@attribute R2 numeric
@attribute R3 numeric
@attribute R7 numeric
@attribute A3 numeric
@attribute R numeric

@data
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.596162,0.593485,0.720214,0.473449,0.685032,211.8
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0.522088,0.528336,0.542615,0.479697,0.570335,195.5
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.199465,0.21776,0.157073,0.009371,0.20158,122.2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.627845,0.618474,0.594824,0.904061,0.660125,211.1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0.622044,0.593039,0.471218,0.410977,0.604109,216.7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.787595,0.750112,0.768853,0.83311,0.828609,264.6
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.414547,0.390004,0.405176,0.489514,0.431603,168.2
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.794288,0.655511,0.69701,0.657296,0.7708,235.8
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.555556,0.628291,0.634538,0.56091,0.651887,189.4
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.677376,0.474342,0.43195,0.490852,0.566943,173.1
1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.539045,0.547077,0.446229,0.373494,0.548384,193.5
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.519411,0.482374,0.45203,0.371709,0.51994,183.8
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.495315,0.504239,0.57519,0.481481,0.563696,193.8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0.690317,0.611334,0.588577,0.708166,0.677909,210.1
